feature,category,mean_abs_shap
Avg Bwd Segment Size,FP,0.026464393588401948
Fwd Header Length.1,FP,0.0008552138853472784
Fwd Avg Bytes/Bulk,FP,0.0
Fwd Avg Packets/Bulk,FP,0.0
Fwd Avg Bulk Rate,FP,0.0
Bwd Avg Bytes/Bulk,FP,0.0
Bwd Avg Packets/Bulk,FP,0.0
Bwd Avg Bulk Rate,FP,0.0
Subflow Fwd Packets,FP,0.0040681407129330984
Subflow Fwd Bytes,FP,0.06706433355632516
Subflow Bwd Packets,FP,0.005194945302185788
Subflow Bwd Bytes,FP,0.0251109287162886
Init_Win_bytes_forward,FP,0.001992544634321604
Init_Win_bytes_backward,FP,0.00908242479748522
act_data_pkt_fwd,FP,0.0035738690146440207
min_seg_size_forward,FP,0.005261943482572648
Active Mean,FP,0.00023729968148763976
Active Std,FP,2.785237339800546e-05
Active Max,FP,3.127758727835024e-05
Active Min,FP,3.690925247129828e-05
Idle Mean,FP,0.00048245887665553523
Idle Std,FP,0.00010880643946722581
Idle Max,FP,0.0005127409000340916
Idle Min,FP,0.0005157529232477808
Destination Port,FN,0.019968136856243587
Flow Duration,FN,0.002384113900950915
Total Fwd Packets,FN,0.0016636091978313146
Total Backward Packets,FN,0.0023523090645843924
Total Length of Fwd Packets,FN,0.0009853480189024968
Total Length of Bwd Packets,FN,0.008616606113538648
Fwd Packet Length Max,FN,0.007645448190674758
Fwd Packet Length Min,FN,0.0036244586147103487
Fwd Packet Length Mean,FN,0.0028158151215716375
Fwd Packet Length Std,FN,0.0005291664758445359
Bwd Packet Length Max,FN,0.0034246139906237774
Bwd Packet Length Min,FN,0.0021805774252354596
Bwd Packet Length Mean,FN,0.0038519414071208707
Bwd Packet Length Std,FN,0.008827404861116165
Flow Bytes/s,FN,0.0032869738169598378
Flow Packets/s,FN,0.005876539546744167
Flow IAT Mean,FN,0.006664506386187067
Flow IAT Std,FN,0.0007254317154031932
Flow IAT Max,FN,0.0034773073559381472
Flow IAT Min,FN,0.003993589484812033
Fwd IAT Total,FN,0.0008558980482204048
Fwd IAT Mean,FN,0.0008360603422040035
Fwd IAT Std,FN,0.0019355303571747088
Fwd IAT Max,FN,0.001321472033883711
Fwd IAT Min,FN,0.0010478280453724204
Bwd IAT Total,FN,0.00188494152181747
Bwd IAT Mean,FN,0.0020383513064463053
Bwd IAT Std,FN,0.000760250139685576
Bwd IAT Max,FN,0.001779280939725633
Bwd IAT Min,FN,0.0009883302456674139
Fwd PSH Flags,FN,0.0003460462094574983
Bwd PSH Flags,FN,0.0
Fwd URG Flags,FN,4.993799212159729e-07
Bwd URG Flags,FN,0.0
Fwd Header Length,FN,0.005591573274744816
Bwd Header Length,FN,0.00526358529630091
Fwd Packets/s,FN,0.0050706432092313325
Bwd Packets/s,FN,0.004062940136412297
Min Packet Length,FN,0.0010461112448593001
Max Packet Length,FN,0.011957463718669006
Packet Length Mean,FN,0.004222722557123963
Packet Length Std,FN,0.00435376421796071
Packet Length Variance,FN,0.007800287093506885
FIN Flag Count,FN,0.00032702886955340767
SYN Flag Count,FN,0.00022022246417142055
RST Flag Count,FN,6.524300461518719e-10
PSH Flag Count,FN,0.01509805187254984
ACK Flag Count,FN,0.008070301418495586
URG Flag Count,FN,0.003552760493034801
CWE Flag Count,FN,4.265674643193539e-07
ECE Flag Count,FN,0.0
Down/Up Ratio,FN,0.0016760495268797223
Average Packet Size,FN,0.006357450246775775
Avg Fwd Segment Size,FN,0.0013018894519449965
Avg Bwd Segment Size,FN,0.0033539751443115587
Fwd Header Length.1,FN,0.005640295507260135
Fwd Avg Bytes/Bulk,FN,0.0
Fwd Avg Packets/Bulk,FN,0.0
Fwd Avg Bulk Rate,FN,0.0
Bwd Avg Bytes/Bulk,FN,0.0
Bwd Avg Packets/Bulk,FN,0.0
Bwd Avg Bulk Rate,FN,0.0
Subflow Fwd Packets,FN,0.0010681476232811812
Subflow Fwd Bytes,FN,0.0027748636758850587
Subflow Bwd Packets,FN,0.0031989493586362305
Subflow Bwd Bytes,FN,0.008995714615547903
Init_Win_bytes_forward,FN,0.03871144540190354
Init_Win_bytes_backward,FN,0.01973997095515083
act_data_pkt_fwd,FN,0.00024779779987510583
min_seg_size_forward,FN,0.004720307161632203
Active Mean,FN,8.934400679486833e-05
Active Std,FN,7.195722187844676e-05
Active Max,FN,0.00015233875210140466
Active Min,FN,0.00012044469189900824
Idle Mean,FN,0.000768460263739812
Idle Std,FN,8.167819245152942e-05
Idle Max,FN,0.0005807526435626918
Idle Min,FN,0.0012216320752286582
Destination Port,TN,0.025036819436631483
Flow Duration,TN,0.0030419280293842586
Total Fwd Packets,TN,0.0017998040708802848
Total Backward Packets,TN,0.002545583036432265
Total Length of Fwd Packets,TN,0.0044930299611145455
Total Length of Bwd Packets,TN,0.013477856848979857
Fwd Packet Length Max,TN,0.010146440301067101
Fwd Packet Length Min,TN,0.0028697708023204768
Fwd Packet Length Mean,TN,0.003069710457799338
Fwd Packet Length Std,TN,0.0011965549524199728
Bwd Packet Length Max,TN,0.0035646964998123807
Bwd Packet Length Min,TN,0.0019095637028015986
Bwd Packet Length Mean,TN,0.006411047796021849
Bwd Packet Length Std,TN,0.009196287487731911
Flow Bytes/s,TN,0.002063947518517472
Flow Packets/s,TN,0.0033325889604241465
Flow IAT Mean,TN,0.002374500259567095
Flow IAT Std,TN,0.0022732326456941674
Flow IAT Max,TN,0.0026316780224022226
Flow IAT Min,TN,0.0012006142249250356
Fwd IAT Total,TN,0.0016473036795591975
Fwd IAT Mean,TN,0.0016116594053712107
Fwd IAT Std,TN,0.00214916497191999
Fwd IAT Max,TN,0.0013825353299043535
Fwd IAT Min,TN,0.0017148831588879006
Bwd IAT Total,TN,0.0014078391313131263
Bwd IAT Mean,TN,0.001918699281825675
Bwd IAT Std,TN,0.0011959231542726077
Bwd IAT Max,TN,0.0013968032628624328
Bwd IAT Min,TN,0.0013262284212105216
Fwd PSH Flags,TN,0.00043030758046047607
Bwd PSH Flags,TN,0.0
Fwd URG Flags,TN,4.398237119955754e-06
Bwd URG Flags,TN,0.0
Fwd Header Length,TN,0.00407671384955473
Bwd Header Length,TN,0.004566590521435279
Fwd Packets/s,TN,0.0021634643253776596
Bwd Packets/s,TN,0.004060477883046822
Min Packet Length,TN,0.0027526181476993684
Max Packet Length,TN,0.01085477782347652
Packet Length Mean,TN,0.007663651129891454
Packet Length Std,TN,0.005538832134257289
Packet Length Variance,TN,0.005535019146517779
FIN Flag Count,TN,0.0005774998077674847
SYN Flag Count,TN,0.000260829665983698
RST Flag Count,TN,3.2709399575355784e-09
PSH Flag Count,TN,0.0074369374029781415
ACK Flag Count,TN,0.002781193610803567
URG Flag Count,TN,0.001727675608101837
CWE Flag Count,TN,6.573728217603919e-06
ECE Flag Count,TN,0.0
Down/Up Ratio,TN,0.00043456517392355485
Average Packet Size,TN,0.011094261219703448
Avg Fwd Segment Size,TN,0.004656405051181895
Avg Bwd Segment Size,TN,0.007476375276383244
Fwd Header Length.1,TN,0.003945196684704954
Fwd Avg Bytes/Bulk,TN,0.0
Fwd Avg Packets/Bulk,TN,0.0
Fwd Avg Bulk Rate,TN,0.0
Bwd Avg Bytes/Bulk,TN,0.0
Bwd Avg Packets/Bulk,TN,0.0
Bwd Avg Bulk Rate,TN,0.0
Subflow Fwd Packets,TN,0.0015848638881084676
Subflow Fwd Bytes,TN,0.007807109392043293
Subflow Bwd Packets,TN,0.002926533569118659
Subflow Bwd Bytes,TN,0.00988161584795142
Init_Win_bytes_forward,TN,0.008645497002448323
Init_Win_bytes_backward,TN,0.008852263982201927
act_data_pkt_fwd,TN,0.000852607590258601
min_seg_size_forward,TN,0.0029955254582897275
Active Mean,TN,0.00044479532639075925
Active Std,TN,0.00020984888021190155
Active Max,TN,0.0003195438055950888
Active Min,TN,0.00029760232322357703
Idle Mean,TN,0.0012889670137256532
Idle Std,TN,0.00011571351751676643
Idle Max,TN,0.001038732060815847
Idle Min,TN,0.0015033536132153353
